figure,series,sf,version,name,rep,seconds,rows
fig1_11,duckdb_cold,10,v1.1.3,Q1.2,3,0.122,962506157441
fig1_11,duckdb_cold,10,v1.1.3,Q1.3,1,0.122,1120078979631
fig1_11,duckdb_cold,10,v1.1.3,Q1.3,2,0.119,1120078979631
fig1_11,duckdb_cold,10,v1.1.3,Q1.3,3,0.109,1120078979631
fig1_11,duckdb_cold,10,v1.1.3,Q2.1,1,0.299,6902779552
fig1_11,duckdb_cold,10,v1.1.3,Q2.1,2,0.317,6902779552
fig1_11,duckdb_cold,10,v1.1.3,Q2.1,3,0.323,6902779552
fig1_11,duckdb_cold,10,v1.1.3,Q2.2,1,0.378,7117736051
fig1_11,duckdb_cold,10,v1.1.3,Q2.2,2,0.379,7117736051
fig1_11,duckdb_cold,10,v1.1.3,Q2.2,3,0.391,7117736051
fig1_11,duckdb_cold,10,v1.1.3,Q2.3,1,0.347,6858483256
fig1_11,duckdb_cold,10,v1.1.3,Q2.3,2,0.351,6858483256
fig1_11,duckdb_cold,10,v1.1.3,Q2.3,3,0.332,6858483256
fig1_11,duckdb_cold,10,v1.1.3,Q3.1,1,0.369,150
fig1_11,duckdb_cold,10,v1.1.3,Q3.1,2,0.371,150
fig1_11,duckdb_cold,10,v1.1.3,Q3.1,3,0.338,150
fig1_11,duckdb_cold,10,v1.1.3,Q3.2,1,0.365,600
fig1_11,duckdb_cold,10,v1.1.3,Q3.2,2,0.378,600
fig1_11,duckdb_cold,10,v1.1.3,Q3.2,3,0.362,600
fig1_11,duckdb_cold,10,v1.1.3,Q3.3,1,0.358,24
fig1_11,duckdb_cold,10,v1.1.3,Q3.3,2,0.324,24
fig1_11,duckdb_cold,10,v1.1.3,Q3.3,3,0.344,24
fig1_11,duckdb_cold,10,v1.1.3,Q3.4,1,0.222,
fig1_11,duckdb_cold,10,v1.1.3,Q3.4,2,0.217,
fig1_11,duckdb_cold,10,v1.1.3,Q3.4,3,0.236,
fig1_11,duckdb_cold,10,v1.1.3,Q4.1,1,0.460,1992
fig1_11,duckdb_cold,10,v1.1.3,Q4.1,2,0.476,1992
fig1_11,duckdb_cold,10,v1.1.3,Q4.1,3,0.516,1992
fig1_11,duckdb_cold,10,v1.1.3,Q4.2,1,0.576,1997
fig1_11,duckdb_cold,10,v1.1.3,Q4.2,2,0.517,1997
fig1_11,duckdb_cold,10,v1.1.3,Q4.2,3,0.558,1997
fig1_11,duckdb_cold,10,v1.1.3,Q4.3,1,0.343,1997
fig1_11,duckdb_cold,10,v1.1.3,Q4.3,2,0.350,1997
fig1_11,duckdb_cold,10,v1.1.3,Q4.3,3,0.388,1997
fig1_11,duckdb_warm,10,v1.1.3,Q1.1,1,0.044,
fig1_11,duckdb_warm,10,v1.1.3,Q1.1,2,0.025,
fig1_11,duckdb_warm,10,v1.1.3,Q1.1,3,0.020,
fig1_11,duckdb_warm,10,v1.1.3,Q1.2,1,0.029,
fig1_11,duckdb_warm,10,v1.1.3,Q1.2,2,0.026,
fig1_11,duckdb_warm,10,v1.1.3,Q1.2,3,0.018,
fig1_11,duckdb_warm,10,v1.1.3,Q1.3,1,0.030,
fig1_11,duckdb_warm,10,v1.1.3,Q1.3,2,0.020,
fig1_11,duckdb_warm,10,v1.1.3,Q1.3,3,0.018,
fig1_11,duckdb_warm,10,v1.1.3,Q2.1,1,0.112,
fig1_11,duckdb_warm,10,v1.1.3,Q2.1,2,0.101,
fig1_11,duckdb_warm,10,v1.1.3,Q2.1,3,0.069,
fig1_11,duckdb_warm,10,v1.1.3,Q2.2,1,0.121,
fig1_11,duckdb_warm,10,v1.1.3,Q2.2,2,0.083,
fig1_11,duckdb_warm,10,v1.1.3,Q2.2,3,0.067,
fig1_11,duckdb_warm,10,v1.1.3,Q2.3,1,0.087,
fig1_11,duckdb_warm,10,v1.1.3,Q2.3,2,0.056,
